comparison_group,model,context_source,context_family,protocol,status,source_file,note,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,f1_mean,brier_score_mean,predicted_positive_rate_mean,long_flat_sharpe_net_mean,long_short_sharpe_net_mean,modulation_scale,context_dim,seed_count,collapse_warning_count,correction_count,regression_count,net_correction,accuracy_mean_delta_vs_stage2,roc_auc_mean_delta_vs_stage2,f1_mean_delta_vs_stage2,brier_score_mean_delta_vs_stage2,predicted_positive_rate_mean_delta_vs_stage2,long_flat_sharpe_net_mean_delta_vs_stage2,long_short_sharpe_net_mean_delta_vs_stage2,accuracy_rank,roc_auc_rank,brier_rank,no_collapse
main,N8-B F&G-only bounded FiLM s0.02,F&G-only external crypto regime,fear_greed,"Stage2 CNN/classifier frozen, bounded last-block FiLM",completed,reports/tables/stage4_n8b_fg_only_pretrained_frozen_bounded_film_mean_std_results.csv,Best compact numeric context candidate.,0.5802914642609299,0.0179721556979971,0.5849295938554637,0.0231089457506323,0.6508144715377929,0.2740042133344558,0.6606523247744622,3.444514918960821,2.3933701589521745,0.02,8.0,5.0,0.0,,,,0.0009715475364330262,6.769075604162733e-05,-0.00025670939888622346,-0.0003325488226971207,-0.003747397640527339,0.002202771708908813,-0.014389062529879482,1.0,4.0,5.0,True
macro,N13-2 FSI-only fsi_all,OFR FSI financial-stress context,fsi,"Stage2 CNN/classifier frozen, bounded last-block FiLM",completed,reports/tables/stage4_n13_2_fsi_only_pretrained_frozen_bounded_film_mean_std_results.csv,Official macro stress proxy; stable but weak hard-decision gain.,0.5798750867453158,0.018371011361859,0.5848586058419644,0.0232325237379478,0.6513191117505913,0.2741901913444625,0.6635669673837612,3.439692864331945,2.3972886948091743,0.02,6.0,5.0,0.0,13.0,9.0,4.0,0.0005551700208189514,-3.2972574577350144e-06,0.0002479308139121672,-0.0001465708126904275,-0.0008327550312283716,-0.0026192829199671586,-0.010470526672879732,2.0,9.0,8.0,True
main,N9 grid news SVD32 s0.02,headline news TF-IDF/SVD,news,"Stage2 CNN/classifier frozen, bounded last-block FiLM",completed,reports/tables/stage4_n10_metric_comparison.csv,Best news accuracy/interpretability row.,0.5797362942401112,0.0168819845935637,0.5853526125916444,0.0232644068383443,0.6493071728594003,0.2737645481156019,0.657321304649549,3.4457130455675498,2.379196604257179,0.02,32.0,5.0,0.0,27.0,24.0,3.0,0.0004163775156142968,0.0004907094922222965,-0.0017640080772788336,-0.0005722140415510002,-0.007078417765440603,0.0034008983156375017,-0.028562617224875186,3.0,3.0,3.0,True
main,N12-C technical-only bounded FiLM s0.02,BB60/MFI60/RV60 chart-derived technical context,technical,"Stage2 CNN/classifier frozen, bounded last-block FiLM",completed,reports/tables/stage4_n12c_technical_only_pretrained_frozen_bounded_film_mean_std_results.csv,Mostly redundant with ohlc_ma_vb chart information.,0.579736294240111,0.01804702886248,0.584777532099771,0.0234515615395681,0.6508336832352363,0.2742182177896106,0.6623178348369188,3.438118155165053,2.3886518022201817,0.02,3.0,5.0,0.0,,,,0.00041637751561407477,-8.437099965108441e-05,-0.00023749770144287918,-0.00011854436754232811,-0.002081887578070818,-0.004193992086859222,-0.019107419261872316,4.0,12.0,9.0,True
macro,N13-2 FSI-only fsi_2,OFR FSI financial-stress context,fsi,"Stage2 CNN/classifier frozen, bounded last-block FiLM",completed,reports/tables/stage4_n13_2_fsi_only_pretrained_frozen_bounded_film_mean_std_results.csv,Official macro stress proxy; stable but weak hard-decision gain.,0.5795975017349063,0.0181189349658258,0.5848632607936693,0.0232775075070149,0.6510580160700177,0.2742557515624285,0.6635669673837612,3.4484390405393617,2.4148762030885096,0.02,2.0,5.0,0.0,8.0,6.0,2.0,0.0002775850104094202,1.3576942472504072e-06,-1.3164866661474761e-05,-8.101059472442884e-05,-0.0008327550312283716,0.00612689328744942,0.007116981606455575,5.0,7.0,12.0,True
main,N9-A news SVD8 s0.02,headline news TF-IDF/SVD,news,"Stage2 CNN/classifier frozen, bounded last-block FiLM",completed,reports/tables/stage4_n10_metric_comparison.csv,News ranking/calibration diagnostic.,0.5794587092297017,0.0183801840918099,0.5856697311765391,0.0230734373951102,0.6475086880015665,0.2733671140529689,0.6517696044413601,3.4305263887117574,2.336906474984788,0.02,8.0,5.0,0.0,,,,0.0001387925052047656,0.0008078280771169899,-0.003562492935112682,-0.0009696481041840399,-0.012630117973629451,-0.011785758540154845,-0.07085274649726614,6.0,2.0,2.0,True
macro,N13-2 FSI-only fsi_3,OFR FSI financial-stress context,fsi,"Stage2 CNN/classifier frozen, bounded last-block FiLM",completed,reports/tables/stage4_n13_2_fsi_only_pretrained_frozen_bounded_film_mean_std_results.csv,Official macro stress proxy; stable but weak hard-decision gain.,0.5794587092297017,0.0188331252534516,0.5848074013732109,0.0233338000301183,0.6508438663574481,0.2742501492801103,0.6631505898681471,3.443911237949393,2.403743522434508,0.02,3.0,5.0,0.0,9.0,8.0,1.0,0.0001387925052047656,-5.4501726211242385e-05,-0.000227314579231086,-8.661287704259113e-05,-0.0012491325468424463,0.001599090697480765,-0.004015699047545951,6.0,10.0,10.0,True
main,N8-B F&G-only bounded FiLM s0.05,F&G-only external crypto regime,fear_greed,"Stage2 CNN/classifier frozen, bounded last-block FiLM",completed,reports/tables/stage4_n8b_fg_only_pretrained_frozen_bounded_film_mean_std_results.csv,Higher F&G scale diagnostic.,0.5793199167244969,0.0170013737478044,0.584921059777338,0.022943164319498,0.6488287360875884,0.2738376188514321,0.6566273421235254,3.421978427400054,2.3342271249728066,0.05,8.0,5.0,0.0,,,,0.0,5.915667791589474e-05,-0.0022424448490907523,-0.0004991433057208172,-0.007772380291464209,-0.020333719851858056,-0.07353209650924741,8.0,5.0,4.0,True
baseline,Stage2 frozen baseline,visual-only ohlc_ma_vb,visual_only,"Stage2 I60/R20 checkpoint reload, no context",completed,reports/tables/stage4_n10_metric_comparison.csv,Reference baseline for all Stage 2 frozen context-FiLM comparisons.,0.5793199167244969,0.0182183337383599,0.5848619030994221,0.0232503983423101,0.6510711809366792,0.2743367621571529,0.6643997224149896,3.4423121472519123,2.407759221482054,,,5.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,14.0,True
macro,N13-4 RORO-only roro_3,KC Fed-inspired public-data RORO proxy,roro,"Stage2 CNN/classifier frozen, bounded last-block FiLM",completed,reports/tables/stage4_n13_4_roro_only_pretrained_frozen_bounded_film_mean_std_results.csv,Public-data risk-off proxy; stable but mostly preserves Stage2 decisions.,0.5793199167244969,0.0184351246265498,0.5847484386516155,0.0233128157685374,0.6509242427849132,0.2742778838026269,0.6638445523941707,3.436555077631968,2.394592158608717,0.02,3.0,5.0,0.0,4.0,4.0,0.0,0.0,-0.00011346444780657716,-0.0001469381517659185,-5.8878354526004095e-05,-0.0005551700208188404,-0.005757069619944044,-0.01316706287333691,8.0,13.0,13.0,True
main,N12-C technical-only bounded FiLM s0.05,BB60/MFI60/RV60 chart-derived technical context,technical,"Stage2 CNN/classifier frozen, bounded last-block FiLM",completed,reports/tables/stage4_n12c_technical_only_pretrained_frozen_bounded_film_mean_std_results.csv,Mostly redundant with ohlc_ma_vb chart information.,0.5793199167244969,0.0180390216023673,0.5846840451530315,0.0236750319618665,0.6499204696243017,0.2740684738332616,0.660235947258848,3.431739184055348,2.3714475448705903,0.05,3.0,5.0,0.0,,,,0.0,-0.0001778579463905805,-0.0011507113123774282,-0.0002682883238913081,-0.004163775156141525,-0.010572963196564089,-0.03631167661146373,8.0,14.0,6.0,True
macro,N13-4 RORO-only roro_proxy_all,KC Fed-inspired public-data RORO proxy,roro,"Stage2 CNN/classifier frozen, bounded last-block FiLM",completed,reports/tables/stage4_n13_4_roro_only_pretrained_frozen_bounded_film_mean_std_results.csv,Public-data risk-off proxy; stable but mostly preserves Stage2 decisions.,0.5791811242192921,0.0183644566068204,0.5848721827844369,0.0232339737634744,0.6503815130096144,0.2741209088885888,0.6623178348369188,3.4312599744252195,2.382130600346017,0.02,6.0,5.0,0.0,8.0,9.0,-1.0,-0.0001387925052047656,1.0279685014769058e-05,-0.0006896679270647077,-0.00021585326856410347,-0.002081887578070818,-0.011052172826692797,-0.025628621136037033,12.0,6.0,7.0,True
macro,N13-4 RORO-only roro_2,KC Fed-inspired public-data RORO proxy,roro,"Stage2 CNN/classifier frozen, bounded last-block FiLM",completed,reports/tables/stage4_n13_4_roro_only_pretrained_frozen_bounded_film_mean_std_results.csv,Public-data risk-off proxy; stable but mostly preserves Stage2 decisions.,0.5791811242192921,0.0182064345387417,0.5847988672950851,0.0232476396975073,0.6506809819095625,0.2742537212514669,0.6634281748785565,3.427885687311028,2.3758429776632424,0.02,2.0,5.0,0.0,4.0,5.0,-1.0,-0.0001387925052047656,-6.303580433697498e-05,-0.00039019902711667775,-8.304090568600486e-05,-0.0009715475364330262,-0.014426459940884317,-0.03191624381881164,12.0,11.0,11.0,True
main,N9 grid news SVD8 s0.05,headline news TF-IDF/SVD,news,"Stage2 CNN/classifier frozen, bounded last-block FiLM",completed,reports/tables/stage4_n10_metric_comparison.csv,News ranking/calibration diagnostic.,0.5786259541984733,0.0166724406611466,0.5866189534116917,0.0227801194555697,0.642979511004582,0.2723265818776449,0.6390006939625261,3.442392721111864,2.3015200741820854,0.05,8.0,5.0,0.0,,,,-0.000693962526023606,0.0017570503122695813,-0.0080916699320972,-0.0020101802795080004,-0.025399028452463446,8.057385995163813e-05,-0.10623914729996864,14.0,1.0,1.0,True
